Item Id,Item URI,Dublin Core:Title,Dublin Core:Subject,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Contributor,Dublin Core:Rights,Dublin Core:Relation,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type,Dublin Core:Identifier,Dublin Core:Coverage,Item Type Metadata:Text,Item Type Metadata:Transcription,Item Type Metadata:Local URL,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:From,Item Type Metadata:To,Item Type Metadata:Number of Attachments,Item Type Metadata:URL,Item Type Metadata:Birth Date,Item Type Metadata:Birthplace,Item Type Metadata:Death Date,Item Type Metadata:Biographical Text,Item Type Metadata:Bibliography,Item Type Metadata:Journal Entry,Item Type Metadata:Footnotes,Item Type Metadata:Location,PDF Text:Text,tags,file,itemType,collection,public,featured
1514,https://georgeeliotarchive.org/items/show/1514,"George Eliot to Jane Maria Strachey, 1880-12-19",Jane Maria Strachey,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:385","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-12-19,,,9:25,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Jane Maria Strachey,Letters",https://georgeeliotarchive.org/files/original/f41b5e7e74c78481068299ea978477b4.pdf,,Correspondence - The John Cross Collection,1,0
1513,https://georgeeliotarchive.org/items/show/1513,"George Eliot to Maria Bury Congreve, 1880-12-06",Maria Bury Congreve,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:383","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-12-06,,,9:23,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Letters,Maria Bury Congreve",https://georgeeliotarchive.org/files/original/96c12ee3ffc769c6a7f25fd26dd50277.pdf,,Correspondence - The John Cross Collection,1,0
1512,https://georgeeliotarchive.org/items/show/1512,"George Eliot to Cara Hennell Bray, 1880-11-28",Cara Hennell Bray,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:382","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-11-28,,,9:22,,,,,,,,,,,,,,,,,,,,,,,,"Caroline [Cara] Hennell Bray,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/07e0b3429a3a15092a265e84054ffddb.pdf,,Correspondence - The John Cross Collection,1,0
1511,https://georgeeliotarchive.org/items/show/1511,"George Eliot to Charles L. Lewes, 1880-11-23",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:381","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-11-23,,,9:21,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/651f6507412db2ac14d6d7a0814d52fa.pdf,,Correspondence - The John Cross Collection,1,0
1510,https://georgeeliotarchive.org/items/show/1510,"George Eliot to Georgiana Burne-Jones, 1880-11-18",Georgiana Burne-Jones,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:381","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-11-18,,,9:21,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Georgiana Burne-Jones,Letters",https://georgeeliotarchive.org/files/original/551190cb5dad09251c2b8f0f56ffdf18.pdf,,Correspondence - The John Cross Collection,1,0
1509,https://georgeeliotarchive.org/items/show/1509,"George Eliot to François D'Albert, 1880-11-15",François D'Albert,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:380-381","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-11-15,,,3:380-381,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,François D'Albert,Letters",https://georgeeliotarchive.org/files/original/1d889b16e255c4eed9066fda3b98794d.pdf,,Correspondence - The John Cross Collection,1,0
1508,https://georgeeliotarchive.org/items/show/1508,"George Eliot to Barbara Leigh Smith Bodichon, 1880-11-07",Barbara Leigh Smith Bodichon,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:379-380","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-11-07,,,3:379-380,,,,,,,,,,,,,,,,,,,,,,,,"Barbara Leigh Smith Bodichon,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/10c82c70cb5e6cd5f37ac65c6e49f06e.pdf,,Correspondence - The John Cross Collection,1,0
1507,https://georgeeliotarchive.org/items/show/1507,"George Eliot to Maria Bury Congreve, 1880-11-03",Maria Bury Congreve,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:379","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-11-03,,,9:19,,,,,,,,,,,,,,,,,,,,,,,,"Correspondence,Cross Letters,Letters,Maria Bury Congreve",https://georgeeliotarchive.org/files/original/fef081fdb316312c4a14ac5734c5ed11.pdf,,Correspondence - The John Cross Collection,1,0
1506,https://georgeeliotarchive.org/items/show/1506,"George Eliot to Charles L. Lewes, 1880-09-23",Charles L. Lewes,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:366-367","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-09-23,,,3:366-367,,,,,,,,,,,,,,,,,,,,,,,,"Charles Lee Lewes,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/cdc32d8107b6249e8f11704f4bfbf135.pdf,,Correspondence - The John Cross Collection,1,0
1505,https://georgeeliotarchive.org/items/show/1505,"George Eliot to Barbara Leigh Smith Bodichon, 1880-09-14",Barbara Leigh Smith Bodichon,,George Eliot,"Cross, JW. <em>George Eliot's Life</em>, 1885, 3:365-366","<em>George Eliot Archive</em>, edited by Beverley Park Rilett <br />GeorgeEliotArchive.org",1880-09-14,,,3:365-366,,,,,,,,,,,,,,,,,,,,,,,,"Barbara Leigh Smith Bodichon,Correspondence,Cross Letters,Letters",https://georgeeliotarchive.org/files/original/b8788bb93ca724e33ee428248204354f.pdf,,Correspondence - The John Cross Collection,1,0
